0.125698381059528+0i	0.0737273370996967+0.0546144226413782i	0.0770950493991794+0.0550455569691999i	0.0846201912975931+0.0557180692096069i	0.0826158437121127+0.0556530492132263i	0.070310457201504+0.0550576862898639i	0.0627673994013891+0.053890238819343i	0.0571677073950793+0.0542877570774458i
0.125846404715611+0i	0.0738648683031587+0.0547571171414696i	0.0772410914802895+0.0551900938035645i	0.0847853882286714+0.0558657201716934i	0.0827759284805323+0.0558002785024492i	0.070439313826896+0.0552016500269837i	0.0628773029675752+0.0540293547584124i	0.0572633867137441+0.054427778192126i
0.126112704537493+0i	0.0741124486897796+0.055014404158281i	0.0775040143413548+0.0554507104374226i	0.0850828428893314+0.0561319676224002i	0.0830641669553965+0.0560657622612861i	0.0706712561703069+0.0554612239966058i	0.0630750801570091+0.0542801689996657i	0.0574355211931716+0.0546802195851445i
0.126497329225138+0i	0.0744703900059771+0.0553873169533065i	0.0778841858848254+0.0558284669170676i	0.0855130522339086+0.0565179215894327i	0.0834810214247704+0.0564506015915251i	0.0710065379331569+0.0558374479087526i	0.0633608619296352+0.0546436535665704i	0.057684146556403+0.0550460512432685i
0.127000270930286+0i	0.074939064790211+0.0558772766507327i	0.0783820553982034+0.0563248224078252i	0.0860766421843297+0.0570251124758115i	0.0840270703404896+0.0569563140705479i	0.0714454522436207+0.0563317514132752i	0.0637347738907731+0.0551211421277831i	0.0580092581145209+0.0555266031426956i
0.127621511646554+0i	0.0755189438094031+0.056486141180492i	0.0789981937907526+0.0569416850683009i	0.0867744142244637+0.0576555426599311i	0.0847030532101564+0.0575848850490256i	0.071988366220597+0.0569460033073952i	0.0641969646731339+0.055714376846013i	0.0584108344408582+0.0561236120795171i
0.128361027571449+0i	0.0762105926527306+0.0572162150851867i	0.0797332906146499+0.0576814223812551i	0.0876073434561015+0.0584116979145759i	0.0855098683695112+0.0583387788310308i	0.0726357171076705+0.0576825212010807i	0.0647476011908364+0.0564255167871331i	0.058888831874229+0.0568392297021857i
0.129218789920083+0i	0.0770146631647698+0.0580702572457401i	0.0805881457615056+0.0585468694778334i	0.0885765709793773+0.0592965569988899i	0.0864485651709934+0.0592209479787013i	0.0733880034075098+0.0585440790210029i	0.0653868592771767+0.0572571440038084i	0.0594431746709871+0.0576760280890873i
0.130194765142303+0i	0.0779318823862637+0.0590514893748468i	0.0815636586707277+0.0595413383460822i	0.0896833938132338+0.0603136023887015i	0.0875203337028053+0.0602348436951501i	0.0742457735131584+0.0595339152220319i	0.0661149118290409+0.0582122700552019i	0.0600737426474591+0.0586370056426271i
0.131288914995835+0i	0.0789630393325129+0.0601636057204978i	0.0826608154039934+0.0606686283779315i	0.0909292527655015+0.0614668326240252i	0.0887264924331646+0.0613844277591473i	0.075209612141213+0.0606557421468968i	0.0669319147098949+0.0592943433744078i	0.0607803565238578+0.0597255937043613i
0.132501196575721+0i	0.0801089695933937+0.0614107840804517i	0.083880673573369+0.0619330383641722i	0.0923157182488726+0.0627607764032287i	0.0900684737735465+0.062674186136038i	0.0762801245470083+0.0619137566282262i	0.0678379903847096+0.0605072575588507i	0.0615627609368232+0.0609456639554103i
0.133831562328209+0i	0.0813705376512878+0.0627976981553067i	0.0852243450181477+0.0633393799739871i	0.0938444739359871+0.0642005084816904i	0.0915478074544551+0.064109144317157i	0.0774579184187795+0.0633126518527619i	0.0688332091880323+0.0618553605838788i	0.0624206050234958+0.0623015365891407i
0.13527996005845+0i	0.0827486167730038+0.0643295312440963i	0.0866929760834516+0.0648929927328457i	0.0955172981008146+0.0657916674125896i	0.0931661015622803+0.0656948844190778i	0.0787435833095674+0.0648576304826961i	0.0699175680922142+0.0633434649127274i	0.0633534204488465+0.0637979892140783i
0.136846332935546+0i	0.0842440663014177+0.0660119912726131i	0.0882877253220739+0.0665997605000331i	0.0973360424592655+0.0675404751578995i	0.0949250210522327+0.0674375640636579i	0.0801376674365216+0.0665544190132194i	0.0710909668165604+0.0649768584586396i	0.0643605967237667+0.0654402664256664i
0.138530619496412+0i	0.0858577061430696+0.0678513271319695i	0.0900097384103523+0.068466129435672i	0.0993026082886608+0.0694537585894399i	0.0968262635197197+0.069343937050763i	0.0816406516486067+0.0684092833326334i	0.0723531810926929+0.0667613163382599i	0.0654413536379307+0.0672340899668067i
