0.012575391397054+0i	0.00188103518963647+0i	5.17928907707022e-08+0i	2.38416371688374e-08+0i	7.13940172427591e-12+0i	6.89896837496367e-12+0i	6.75348326788634e-12+0i	6.59340521774113e-12+0i	6.40062418179495e-12+0i	6.20045305941851e-12+0i	2.19835305026651e-14+0i	2.00001019928286e-14+0i	1.95633475098826e-14+0i	1.95642107937066e-14+0i	6.20955899521511e-12+0i	6.03332677483653e-12+0i	7.10685884653199e-13+0i	7.89070532904043e-13+0i	5.79749791680788e-12+0i	5.72637069583138e-12+0i	9.33906511412041e-13+0i	9.4796160246686e-13+0i	1.02223443854425e-12+0i	5.60998879948839e-12+0i	5.55063820223627e-12+0i	1.07825601430578e-12+0i	1.13778152190807e-12+0i	5.38284367460679e-12+0i	5.31560194799519e-12+0i	1.26166254422682e-12+0i	1.30794348816305e-12+0i	1.3783919746791e-12+0i	1.45085986695278e-12+0i	5.1302862648286e-12+0i	4.98369072483857e-12+0i	4.94466656645137e-12+0i	1.5298997447823e-12+0i	1.59278578729728e-12+0i	1.67282808564523e-12+0i	1.738106662125e-12+0i	4.86620570745838e-12+0i	4.84811209347336e-12+0i	1.78835579335294e-12+0i	1.88901861778456e-12+0i	4.74004563799149e-12+0i	1.99542060013944e-12+0i	2.0458601200614e-12+0i	4.58745354377019e-12+0i	4.54422556562392e-12+0i	2.23307936247874e-12+0i	2.26545712357649e-12+0i	2.27170679397378e-12+0i	2.39428031661019e-12+0i	2.48574515283008e-12+0i	4.35641793149076e-12+0i	4.29080986050327e-12+0i	4.23775531581221e-12+0i	2.61440715670011e-12+0i	2.6345702189812e-12+0i	2.71233433302906e-12+0i	4.19934988446573e-12+0i	4.192896877335e-12+0i	4.12487433140361e-12+0i	4.02185110277971e-12+0i	3.0562259147899e-12+0i	3.10648558041409e-12+0i	3.99663538603716e-12+0i	2.86831067757595e-12+0i	2.91157893882504e-12+0i	2.89184329507297e-12+0i	3.87247289686671e-12+0i	3.27643596370265e-12+0i	3.25190440306238e-12+0i	3.82627071366631e-12+0i	3.77342162687992e-12+0i	3.72616322909948e-12+0i	2.89652923120922e-12+0i	3.61089178397356e-12+0i	3.50373075453118e-12+0i	3.55519369064116e-12+0i	3.58011145191969e-12+0i	3.47221158760469e-12+0i	3.45784968244415e-12+0i	3.47535235000274e-12+0i	3.54989259054398e-12+0i
0.0126139004835317+0i	0.00189260329754294+0i	5.24302591642028e-08+0i	2.41349953701393e-08+0i	6.81465297282832e-12+0i	6.58514868975194e-12+0i	6.44627787692642e-12+0i	6.29349914041571e-12+0i	6.1094682865936e-12+0i	2.0982599998831e-14+0i	1.90894460407655e-14+0i	1.86744082684946e-14+0i	1.87500041198248e-14+0i	5.9183920712131e-12+0i	5.9270828066517e-12+0i	5.7588624611008e-12+0i	6.84868871730148e-13+0i	7.53048974290241e-13+0i	5.53376101999811e-12+0i	5.4658623124427e-12+0i	8.91324394497323e-13+0i	9.1535251820004e-13+0i	5.3547848215087e-12+0i	9.79102450525554e-13+0i	1.02928391764928e-12+0i	5.29811858886222e-12+0i	1.09043189219013e-12+0i	5.13795308033937e-12+0i	1.20414481012362e-12+0i	1.24836220045206e-12+0i	5.07383334322929e-12+0i	1.31560767684421e-12+0i	4.89687869123197e-12+0i	4.7569576355591e-12+0i	1.38473433737206e-12+0i	1.52031721141196e-12+0i	1.46056954980879e-12+0i	1.59699763757344e-12+0i	4.71969831896578e-12+0i	1.65895261931293e-12+0i	1.7069195862672e-12+0i	1.80503350396408e-12+0i	4.64480846715642e-12+0i	4.62753362118492e-12+0i	1.90458640578907e-12+0i	4.52446971463247e-12+0i	1.95269879375852e-12+0i	4.37872338743765e-12+0i	2.131416231364e-12+0i	4.33746224108431e-12+0i	4.15822851751658e-12+0i	2.16231219188272e-12+0i	2.28528175678964e-12+0i	2.37349705787408e-12+0i	2.16941347494173e-12+0i	4.09556602571611e-12+0i	2.49538373523112e-12+0i	4.04492582947033e-12+0i	2.51463575776009e-12+0i	2.58887508263842e-12+0i	4.00826685365054e-12+0i	4.00220433891861e-12+0i	3.93718554700738e-12+0i	3.83883467465866e-12+0i	2.91745625100868e-12+0i	2.96508599240596e-12+0i	3.81481576617827e-12+0i	2.73776603674395e-12+0i	2.77905581566316e-12+0i	2.76020612857486e-12+0i	3.69656375644755e-12+0i	3.12730920264752e-12+0i	3.10389496244217e-12+0i	3.65214790501791e-12+0i	3.55663306361933e-12+0i	3.60169872066648e-12+0i	2.76468274262734e-12+0i	3.44656265455854e-12+0i	3.34430815017248e-12+0i	3.41717667575347e-12+0i	3.39341626803775e-12+0i	3.31419222699756e-12+0i	3.30047852561043e-12+0i	3.317191627606e-12+0i	3.38833705947747e-12+0i
0.0126831808882638+0i	0.00191350502382977+0i	5.35917059105995e-08+0i	2.46695559980582e-08+0i	6.05162189374081e-12+0i	5.84780518014598e-12+0i	5.72448058227737e-12+0i	5.58885529307585e-12+0i	5.42539249921195e-12+0i	1.8632297330915e-14+0i	1.65849079949126e-14+0i	1.69511656248192e-14+0i	1.68204105996939e-14+0i	5.2556938693259e-12+0i	5.11401962205225e-12+0i	5.26340843175831e-12+0i	6.22089061882312e-13+0i	6.68611340109385e-13+0i	4.9141307603753e-12+0i	4.8538205059345e-12+0i	7.91429584408094e-13+0i	8.36944833321784e-13+0i	4.75520887823208e-12+0i	8.76769001524096e-13+0i	4.70485473803793e-12+0i	9.14467193506892e-13+0i	9.80380585180956e-13+0i	4.56261961930561e-12+0i	4.50583099507896e-12+0i	1.06919865398983e-12+0i	1.10850335743991e-12+0i	1.16822067150965e-12+0i	1.22956617820974e-12+0i	4.34853362654922e-12+0i	4.22429921086084e-12+0i	4.19118989318878e-12+0i	1.29779236895908e-12+0i	1.35020000293951e-12+0i	1.41898609184347e-12+0i	1.47311455814201e-12+0i	1.51571391399032e-12+0i	4.12469301824799e-12+0i	4.1093414823596e-12+0i	1.60778043293521e-12+0i	4.0180295657235e-12+0i	1.6913107335761e-12+0i	1.73396228575701e-12+0i	3.88838271751065e-12+0i	1.89269136708063e-12+0i	1.92011008217622e-12+0i	3.85174206156316e-12+0i	1.92913416348291e-12+0i	2.02931654170764e-12+0i	2.10989838136196e-12+0i	3.69265626385317e-12+0i	3.63692390661123e-12+0i	3.59195482684743e-12+0i	3.55940013676832e-12+0i	2.21588229405427e-12+0i	2.23298436164832e-12+0i	3.55424677085973e-12+0i	2.29894915620863e-12+0i	3.49629454531343e-12+0i	3.40893247522395e-12+0i	3.38772098027306e-12+0i	2.43116892410234e-12+0i	2.59152946694091e-12+0i	2.63299857882428e-12+0i	2.4510581199132e-12+0i	2.45503699184578e-12+0i	2.46780817070818e-12+0i	2.75627085988423e-12+0i	2.77706074624072e-12+0i	3.28333803119011e-12+0i	3.19834233446644e-12+0i	3.24314643687886e-12+0i	3.15842655132572e-12+0i	3.06058475551947e-12+0i	2.96985211484408e-12+0i	3.01342748843688e-12+0i	3.03447662630189e-12+0i	2.93084731302601e-12+0i	2.94303669779723e-12+0i	2.94569516922951e-12+0i	3.00887054930296e-12+0i
0.0127832473174848+0i	0.00194389892328104+0i	5.53034515483956e-08+0i	2.54576036864366e-08+0i	7.94486103150744e-12+0i	7.67730282900466e-12+0i	7.51540439478162e-12+0i	7.33726359466663e-12+0i	7.12273558076969e-12+0i	2.44637182266053e-14+0i	2.22565267172372e-14+0i	2.17588897821609e-14+0i	2.177129463701e-14+0i	6.89998239424513e-12+0i	6.91011583227561e-12+0i	6.71400153599113e-12+0i	7.8986218712742e-13+0i	6.45156615710053e-12+0i	6.37241542909575e-12+0i	8.78099660776253e-13+0i	1.03927442111115e-12+0i	1.05333687591945e-12+0i	6.24290167311646e-12+0i	6.17685709475983e-12+0i	1.13703945590542e-12+0i	1.19988733718831e-12+0i	1.2655188921101e-12+0i	5.99013239951492e-12+0i	5.91529506461386e-12+0i	1.40400898348187e-12+0i	1.45550880534725e-12+0i	1.53390498709305e-12+0i	1.61455111146522e-12+0i	5.70908199226936e-12+0i	5.54594654560567e-12+0i	5.50252092726053e-12+0i	1.70245543160471e-12+0i	1.77247539618124e-12+0i	1.86150763550086e-12+0i	5.41520775744451e-12+0i	5.39507347139562e-12+0i	1.93420281550036e-12+0i	1.99012071121122e-12+0i	2.10184410568976e-12+0i	5.27480199533726e-12+0i	2.2205426773345e-12+0i	2.27667703624164e-12+0i	5.10500812698323e-12+0i	2.4850167976315e-12+0i	5.05690321654819e-12+0i	2.52104857886998e-12+0i	2.66440492261427e-12+0i	4.84790243003774e-12+0i	4.77489790241888e-12+0i	2.76605561242517e-12+0i	2.52783557772544e-12+0i	2.9093670525534e-12+0i	4.71585772863057e-12+0i	2.93180438203435e-12+0i	3.0183395543617e-12+0i	4.67311947878296e-12+0i	4.66592399824207e-12+0i	4.59024060863882e-12+0i	3.40098053910003e-12+0i	4.47559569639293e-12+0i	4.44752782974355e-12+0i	3.45696072823685e-12+0i	3.19191310793895e-12+0i	3.21810283691819e-12+0i	3.24006434633012e-12+0i	3.64608447073268e-12+0i	4.30931894386694e-12+0i	3.61878513045483e-12+0i	3.22331720249879e-12+0i	4.14654243225227e-12+0i	4.25795033912277e-12+0i	4.19913891938596e-12+0i	4.01827218022593e-12+0i	3.89901701776108e-12+0i	3.95628803363447e-12+0i	3.98401987422604e-12+0i	3.86394642828317e-12+0i	3.84796484704203e-12+0i	3.86744167258797e-12+0i	3.95039165068078e-12+0i
0.0129141006713957+0i	0.00198400798030622+0i	5.76029972693552e-08+0i	2.65159845042189e-08+0i	6.56373602937661e-12+0i	6.34267618869672e-12+0i	6.20891876863613e-12+0i	6.06183092283807e-12+0i	2.021001583091e-14+0i	1.79898578768478e-14+0i	1.83865615661557e-14+0i	1.82792000759531e-14+0i	5.88453245829643e-12+0i	5.70047536119648e-12+0i	5.70884149323242e-12+0i	6.77609878042118e-13+0i	7.25324374724254e-13+0i	8.58507757718628e-13+0i	5.54681533437316e-12+0i	5.33001913467311e-12+0i	5.26460384502903e-12+0i	5.15765668659311e-12+0i	9.12937221968642e-13+0i	9.52537399142853e-13+0i	5.10303667841782e-12+0i	9.92076878559549e-13+0i	1.066318613406e-12+0i	4.94876871451162e-12+0i	4.88720960903461e-12+0i	1.1598103328182e-12+0i	1.2023982536988e-12+0i	1.26716738956093e-12+0i	1.33375072149516e-12+0i	4.71657121648132e-12+0i	1.40789075645609e-12+0i	1.46460882847555e-12+0i	4.58183195675337e-12+0i	4.54591771948047e-12+0i	1.53936999928836e-12+0i	1.59787027281276e-12+0i	1.64407093733979e-12+0i	1.74502609649835e-12+0i	4.47379759088009e-12+0i	4.45714395662646e-12+0i	1.83455223670968e-12+0i	4.35815594871196e-12+0i	1.88080069057848e-12+0i	4.21749516392462e-12+0i	2.05295723164499e-12+0i	4.17775318636411e-12+0i	4.00522702009546e-12+0i	2.08269570013778e-12+0i	2.20113716710679e-12+0i	2.09308875075108e-12+0i	2.28904914021811e-12+0i	3.94476421474536e-12+0i	2.4035034732253e-12+0i	2.42204627498179e-12+0i	2.4936084364131e-12+0i	3.89598857260775e-12+0i	3.86067939037801e-12+0i	3.85514125726137e-12+0i	3.79223813748102e-12+0i	3.69748597209445e-12+0i	3.67450545232688e-12+0i	2.81111402844461e-12+0i	2.85591037037546e-12+0i	2.63699833937021e-12+0i	2.65857443101321e-12+0i	2.66288603061172e-12+0i	2.67672987111899e-12+0i	3.56142793077105e-12+0i	3.01216011017519e-12+0i	2.9896108171285e-12+0i	3.46908166128508e-12+0i	3.42581225331391e-12+0i	3.51767332272223e-12+0i	3.31967325441137e-12+0i	3.22127501422049e-12+0i	3.26852978364544e-12+0i	3.2913540387023e-12+0i	3.17895316172041e-12+0i	3.19505070865745e-12+0i	3.19217593507799e-12+0i	3.2635763676193e-12+0i
0.0130757401125159+0i	0.00203412328942205+0i	6.05418201890044e-08+0i	2.78686729835918e-08+0i	5.93747865255324e-12+0i	5.73750572992405e-12+0i	5.61651156181902e-12+0i	5.48352920124624e-12+0i	5.3231013955851e-12+0i	1.82820220727413e-14+0i	1.62765504424258e-14+0i	1.67480665688741e-14+0i	1.6632527590889e-14+0i	5.15658913228528e-12+0i	5.16415181917053e-12+0i	5.01758642192934e-12+0i	6.28794628869368e-13+0i	6.56159352357667e-13+0i	4.82149507650571e-12+0i	4.76230345302038e-12+0i	4.6656051194462e-12+0i	4.61615331138067e-12+0i	7.76626800923471e-13+0i	8.57135817472395e-13+0i	8.99203010920443e-13+0i	8.69645607130418e-13+0i	4.47660555541694e-12+0i	9.85894628039611e-13+0i	4.42113674936313e-12+0i	1.04918962142853e-12+0i	1.08770098243641e-12+0i	1.14628972707666e-12+0i	1.20653470898823e-12+0i	4.26656435515882e-12+0i	1.27486512618615e-12+0i	1.32521803409153e-12+0i	4.14471461272576e-12+0i	4.11219795909744e-12+0i	1.39394827828955e-12+0i	1.44544165191654e-12+0i	1.48723302330381e-12+0i	1.58601503000152e-12+0i	4.04697277017934e-12+0i	4.03189182110481e-12+0i	3.94265861294844e-12+0i	1.6596470826367e-12+0i	1.70137955145078e-12+0i	3.81511082707197e-12+0i	3.77916054368621e-12+0i	1.85713131701403e-12+0i	1.99114819090708e-12+0i	1.88400950524186e-12+0i	1.89734880187836e-12+0i	2.074136080229e-12+0i	3.62321494479429e-12+0i	3.5684041662642e-12+0i	2.17421012304547e-12+0i	2.19098158901887e-12+0i	3.52428199637094e-12+0i	2.25578108666717e-12+0i	3.49234190017886e-12+0i	3.48766131771271e-12+0i	3.43045642912339e-12+0i	3.34472140878557e-12+0i	3.32410152322455e-12+0i	2.54415412238475e-12+0i	2.58344934308561e-12+0i	2.38546463742912e-12+0i	2.40494200918243e-12+0i	2.40884094701091e-12+0i	2.42136181008083e-12+0i	3.2227290824299e-12+0i	2.70439479869433e-12+0i	2.72478972014442e-12+0i	3.09912100642606e-12+0i	3.13811174022521e-12+0i	3.18206614426905e-12+0i	3.00297699093638e-12+0i	2.91406832010393e-12+0i	2.9567626342992e-12+0i	2.97734309347919e-12+0i	2.8756663258553e-12+0i	2.88764274358328e-12+0i	2.89022601888265e-12+0i	2.95221440392239e-12+0i
0.0132681642002816+0i	0.00209460447875451+0i	6.41857530215136e-08+0i	2.95462214282458e-08+0i	9.68000306809305e-12+0i	9.35401360305275e-12+0i	9.1567594029412e-12+0i	8.93972752095334e-12+0i	8.67834217543733e-12+0i	2.98071912748625e-14+0i	2.71179248738426e-14+0i	2.65273818907403e-14+0i	2.65546082746819e-14+0i	8.40694059215098e-12+0i	8.41928587034909e-12+0i	8.18034382974311e-12+0i	9.66215234904029e-13+0i	1.06996862971617e-12+0i	7.86059991858008e-12+0i	7.76416074571698e-12+0i	1.26632361932529e-12+0i	1.28936675737939e-12+0i	1.38743824544953e-12+0i	7.60637066110698e-12+0i	7.52589619910831e-12+0i	1.46207411453608e-12+0i	7.29839370133234e-12+0i	1.54434919606669e-12+0i	1.71073488460472e-12+0i	1.7734512242522e-12+0i	7.20724978834926e-12+0i	1.86896750788271e-12+0i	6.95596619515897e-12+0i	6.75721016261707e-12+0i	1.9672598335897e-12+0i	2.15969857076588e-12+0i	2.07451796603867e-12+0i	2.26832381869922e-12+0i	6.7042966182246e-12+0i	2.35669520824855e-12+0i	2.42482270141971e-12+0i	6.59791790893001e-12+0i	2.56206363560631e-12+0i	6.5733833325009e-12+0i	2.70559145095651e-12+0i	6.42689827569213e-12+0i	2.77397107506276e-12+0i	6.21997418906397e-12+0i	3.02780932090051e-12+0i	6.16136277226453e-12+0i	5.90673899189196e-12+0i	3.24636956144277e-12+0i	3.07170918149302e-12+0i	3.37072910530465e-12+0i	3.08061907700796e-12+0i	5.8177737405669e-12+0i	3.54484000832011e-12+0i	5.7458385778881e-12+0i	3.57217254467063e-12+0i	3.67762099961229e-12+0i	5.69376663213523e-12+0i	5.68505481500997e-12+0i	5.59279189165965e-12+0i	4.14400418726654e-12+0i	4.21202137939284e-12+0i	5.453109136253e-12+0i	5.41893922477543e-12+0i	3.88908835319612e-12+0i	3.94774747505249e-12+0i	3.9209982424562e-12+0i	4.44244660202305e-12+0i	5.25069254498104e-12+0i	4.40918527676454e-12+0i	5.11627922971437e-12+0i	5.05222158195875e-12+0i	3.92734854237831e-12+0i	5.18793251495995e-12+0i	4.89591754799317e-12+0i	4.75063171046093e-12+0i	4.82040233123864e-12+0i	4.85418219927013e-12+0i	4.68841222292968e-12+0i	4.70788643481862e-12+0i	4.71213768280807e-12+0i	4.8132066257757e-12+0i
0.0134913711025028+0i	0.00216587987888036+0i	6.86154967787051e-08+0i	3.15851193071843e-08+0i	8.42854852257851e-12+0i	8.14470606886774e-12+0i	7.97296094555683e-12+0i	7.78410604343839e-12+0i	7.55644909503516e-12+0i	2.59557659339551e-14+0i	2.31051992833556e-14+0i	2.36140330226606e-14+0i	2.34961272198211e-14+0i	7.32011792377267e-12+0i	7.33085818614517e-12+0i	7.12281743333959e-12+0i	8.72322340192543e-13+0i	9.31926563198652e-13+0i	6.84445089489391e-12+0i	6.76045440598401e-12+0i	1.10283471003167e-12+0i	1.1758784336796e-12+0i	6.6231375808402e-12+0i	1.22457662253618e-12+0i	6.55300400391225e-12+0i	1.27433776427012e-12+0i	1.37141171893888e-12+0i	6.35492166205034e-12+0i	6.27590212209443e-12+0i	1.48985087161894e-12+0i	1.54436604670173e-12+0i	1.6275298985476e-12+0i	1.7132163965885e-12+0i	6.05677605948757e-12+0i	5.88377327238752e-12+0i	5.83765862313792e-12+0i	1.80835075483923e-12+0i	1.8811595415922e-12+0i	1.9772508127026e-12+0i	2.05221892530675e-12+0i	2.1115307702059e-12+0i	5.74505768086413e-12+0i	5.72366890164808e-12+0i	2.24186180791186e-12+0i	5.59660402320969e-12+0i	2.35617623541702e-12+0i	2.41556686830968e-12+0i	5.41596753383254e-12+0i	2.63660366538219e-12+0i	2.67480043974104e-12+0i	5.364932286502e-12+0i	2.68856298698987e-12+0i	2.82686612199877e-12+0i	2.94010237498964e-12+0i	5.14341778428396e-12+0i	5.06578077445982e-12+0i	5.00314329108783e-12+0i	3.08677665712294e-12+0i	3.11056149398184e-12+0i	4.95780441596822e-12+0i	4.95072905897402e-12+0i	3.20248426125443e-12+0i	4.86992395537726e-12+0i	4.74827613596865e-12+0i	4.71878430238702e-12+0i	3.61027660752643e-12+0i	3.66768652028981e-12+0i	3.38654685995648e-12+0i	3.41428991276431e-12+0i	3.43755508156711e-12+0i	3.41981054435506e-12+0i	3.83935577404136e-12+0i	3.86831360485304e-12+0i	4.57367171966266e-12+0i	4.45500754045422e-12+0i	4.51738892536916e-12+0i	4.39946508473564e-12+0i	4.26316977131375e-12+0i	4.13681440309669e-12+0i	4.19748820370057e-12+0i	4.22680635623267e-12+0i	4.08246347809981e-12+0i	4.09944251915161e-12+0i	4.10310729928719e-12+0i	4.19111804538665e-12+0i
0.0137453586515729+0i	0.00224844667053279+0i	7.39307790228173e-08+0i	3.40316017498322e-08+0i	6.99831772490335e-12+0i	6.76260014954177e-12+0i	6.61998295759347e-12+0i	6.46331133471209e-12+0i	6.27416266594632e-12+0i	2.15468521039068e-14+0i	1.91857411260774e-14+0i	1.99468554902335e-14+0i	1.96027472969936e-14+0i	6.07787263641345e-12+0i	6.08678189100242e-12+0i	5.9140231085988e-12+0i	5.68290804777964e-12+0i	7.54712368312113e-13+0i	7.73190667890483e-13+0i	5.61311908158761e-12+0i	5.49918809155814e-12+0i	5.44084915832115e-12+0i	9.15225277522451e-13+0i	1.06676302650114e-12+0i	1.03722625115826e-12+0i	1.03113806517742e-12+0i	5.27636320650797e-12+0i	5.21121624816718e-12+0i	1.18854949169099e-12+0i	1.23644335969531e-12+0i	1.28190039326011e-12+0i	1.35095900091785e-12+0i	1.42189769918056e-12+0i	5.0287864372973e-12+0i	1.50400811745512e-12+0i	1.56221914379324e-12+0i	4.88519711694538e-12+0i	4.84683564237022e-12+0i	1.64459694873409e-12+0i	1.70354816196875e-12+0i	1.75281173319119e-12+0i	1.87793238649971e-12+0i	4.76996825230445e-12+0i	4.75217595392029e-12+0i	4.64733490645395e-12+0i	1.95613500348664e-12+0i	2.00520037925664e-12+0i	4.49665009644448e-12+0i	4.45427744762518e-12+0i	2.18882057335182e-12+0i	2.34675919631035e-12+0i	2.22046866390541e-12+0i	2.24054525819487e-12+0i	2.44867141232774e-12+0i	4.27059331633963e-12+0i	4.20585395706442e-12+0i	4.15385022180095e-12+0i	2.5625095608776e-12+0i	2.58228667608059e-12+0i	2.65872731086031e-12+0i	4.11620259838905e-12+0i	4.11104489525992e-12+0i	4.04328773023209e-12+0i	3.94219540887525e-12+0i	3.9180746587783e-12+0i	2.99996824850285e-12+0i	3.04487705548402e-12+0i	2.81158319329046e-12+0i	2.83447486700861e-12+0i	2.85384688807696e-12+0i	2.83907639065948e-12+0i	3.7996184063406e-12+0i	3.18744110320487e-12+0i	3.2114753021499e-12+0i	3.65286612146046e-12+0i	3.69866038427617e-12+0i	3.75047457668588e-12+0i	3.53939422473242e-12+0i	3.43471980589861e-12+0i	3.48498304215218e-12+0i	3.50915976786623e-12+0i	3.38932091316347e-12+0i	3.4034551088662e-12+0i	3.40649203759086e-12+0i	3.47954914087871e-12+0i
0.0140301243631751+0i	0.00234287104416951+0i	8.02514029693564e-08+0i	3.69410927378696e-08+0i	9.45668796243474e-12+0i	9.13820560775953e-12+0i	8.94550521889884e-12+0i	8.47819809659116e-12+0i	8.73368273942763e-12+0i	2.91203002647185e-14+0i	2.59250964549536e-14+0i	2.65913359085801e-14+0i	2.64930183501091e-14+0i	8.21301157600423e-12+0i	8.22505741750494e-12+0i	7.99163220946613e-12+0i	7.67932069309304e-12+0i	9.95788287918891e-13+0i	1.0453973306356e-12+0i	7.58505664540333e-12+0i	7.43103241114166e-12+0i	7.35229315527578e-12+0i	1.23719791733697e-12+0i	1.3530227031067e-12+0i	1.43128891947448e-12+0i	1.38249009014838e-12+0i	7.13004260006646e-12+0i	1.560969928128e-12+0i	7.04161205617872e-12+0i	1.67137936719345e-12+0i	1.73261076692495e-12+0i	1.82592115196996e-12+0i	1.92198827947689e-12+0i	6.79552032603068e-12+0i	2.03015727052444e-12+0i	2.11080395155057e-12+0i	6.60144382664299e-12+0i	6.54966985476636e-12+0i	2.21978387523302e-12+0i	2.3024030831192e-12+0i	2.36895544260927e-12+0i	2.5231015466385e-12+0i	6.44578427737998e-12+0i	6.42177013282636e-12+0i	6.27952862545411e-12+0i	2.64354063227215e-12+0i	2.71005925498067e-12+0i	6.07652098054287e-12+0i	6.01926110409928e-12+0i	2.95809641742039e-12+0i	3.17154808148233e-12+0i	3.00092326652724e-12+0i	3.02054498326189e-12+0i	3.30225367546383e-12+0i	5.77084556152413e-12+0i	5.6836064775857e-12+0i	5.61332995037909e-12+0i	3.46314403311257e-12+0i	3.48983946140066e-12+0i	3.59303411608042e-12+0i	5.56245960836158e-12+0i	5.55487047921595e-12+0i	5.4638853096209e-12+0i	5.32736055526558e-12+0i	5.29444984637777e-12+0i	4.0518178207778e-12+0i	4.11492535499988e-12+0i	3.79955248816879e-12+0i	3.83061739015227e-12+0i	3.83681753951869e-12+0i	3.85673950566939e-12+0i	5.13261059298674e-12+0i	4.34003066078565e-12+0i	4.30754471678257e-12+0i	4.9983070524963e-12+0i	4.93614723837387e-12+0i	5.068304708787e-12+0i	4.78308014222211e-12+0i	4.64142500168553e-12+0i	4.70944549315945e-12+0i	4.7422611849597e-12+0i	4.58031560814569e-12+0i	4.59938319658836e-12+0i	4.60348794556929e-12+0i	4.70222754328182e-12+0i
0.0143456654435736+0i	0.00244978838333521+0i	8.77190515825471e-08+0i	4.03782860600923e-08+0i	8.45664871851914e-12+0i	8.17180486530825e-12+0i	7.99946754660441e-12+0i	7.81019844512911e-12+0i	7.58159878767265e-12+0i	2.60364523310165e-14+0i	2.31849714151915e-14+0i	2.42328409993654e-14+0i	2.36872623372255e-14+0i	7.34439017613541e-12+0i	7.35515246314979e-12+0i	7.14639231881624e-12+0i	9.19842060603777e-13+0i	6.86712831019453e-12+0i	6.78278280325945e-12+0i	9.34266094155967e-13+0i	1.10590775817401e-12+0i	6.64514258542294e-12+0i	6.57461306828061e-12+0i	1.26336139764599e-12+0i	6.37584990420814e-12+0i	6.29728625464969e-12+0i	1.24931244579879e-12+0i	1.30118393261572e-12+0i	1.45538836923755e-12+0i	1.49405262638935e-12+0i	1.54899552081497e-12+0i	1.6324448149291e-12+0i	6.07668076484636e-12+0i	5.90319366723587e-12+0i	5.85681507550424e-12+0i	1.71815134796765e-12+0i	1.88800724579568e-12+0i	1.8184631846609e-12+0i	1.98857244554802e-12+0i	5.76393898771627e-12+0i	5.7424273532135e-12+0i	2.11803544572513e-12+0i	2.05850512344885e-12+0i	5.61597215713604e-12+0i	2.27541237089411e-12+0i	2.36380776054588e-12+0i	5.43365130754755e-12+0i	2.42301338626928e-12+0i	2.64492003140863e-12+0i	2.68314173446022e-12+0i	5.38244904939317e-12+0i	2.71039543898318e-12+0i	2.83575098389761e-12+0i	5.16057601029902e-12+0i	5.08225605605798e-12+0i	2.96186472429175e-12+0i	5.01941593669541e-12+0i	3.09645609678313e-12+0i	3.12035580441902e-12+0i	3.21277412549842e-12+0i	4.88583358643319e-12+0i	4.97392297312447e-12+0i	4.96793613899585e-12+0i	4.76365299685008e-12+0i	4.73463085698204e-12+0i	3.67934230280339e-12+0i	3.62606591933834e-12+0i	3.39747269210669e-12+0i	3.44850862305019e-12+0i	3.42509572758035e-12+0i	3.43065740629023e-12+0i	3.85161790350731e-12+0i	3.88065760978398e-12+0i	4.59220444735602e-12+0i	4.41414199704824e-12+0i	4.53197996953332e-12+0i	4.46936673812227e-12+0i	4.27692421661183e-12+0i	4.15051852544608e-12+0i	4.21121357055893e-12+0i	4.24037565852022e-12+0i	4.09556617500002e-12+0i	4.11265768508525e-12+0i	4.11631748902674e-12+0i	4.2045967320789e-12+0i
